DATEPRD;WELL_BORE_CODE;NPD_WELL_BORE_CODE;NPD_WELL_BORE_NAME;NPD_FIELD_CODE;NPD_FIELD_NAME;NPD_FACILITY_CODE;NPD_FACILITY_NAME;ON_STREAM_HRS;AVG_DOWNHOLE_PRESSURE;AVG_DOWNHOLE_TEMPERATURE;AVG_DP_TUBING;AVG_ANNULUS_PRESS;AVG_CHOKE_SIZE_P;AVG_CHOKE_UOM;AVG_WHP_P;AVG_WHT_P;DP_CHOKE_SIZE;BORE_GAS_VOL;BORE_WAT_VOL;BORE_WI_VOL;FLOW_KIND;WELL_TYPE;BORE_OIL_VOL
09.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,075;0;0;;production;OP;0
10.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,262;0;0;;production;OP;0
11.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,233;0;0;;production;OP;0
12.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;17                                                                                                                                                                                                                                                                      ,796;0;0;;production;OP;0
13.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;2                                                                                                                                                                                                                                                                       ,292;0;0;;production;OP;0
14.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;11                                                                                                                                                                                                                                                                      ,35;0;0;;production;OP;0
15.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;28                                                                                                                                                                                                                                                                      ,723;0;0;;production;OP;0
16.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,106;0;0;;production;OP;0
17.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;25                                                                                                                                                                                                                                                                      ,25;0;0;;production;OP;0
18.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;30                                                                                                                                                                                                                                                                      ,034;0;0;;production;OP;0
19.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;27                                                                                                                                                                                                                                                                      ,274;0;0;;production;OP;0
20.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,158;0;0;;production;OP;0
21.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,193;0;0;;production;OP;0
22.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,226;0;0;;production;OP;0
23.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,181;0;0;;production;OP;0
24.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,188;0;0;;production;OP;0
25.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,223;0;0;;production;OP;0
26.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,234;0;0;;production;OP;0
27.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;23                                                                                                                                                                                                                                                                      ,66;0;0;;production;OP;0
29.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0                                                                                                                                                                                                                                                                       ,788;0;0;;production;OP;0
30.04.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;8                                                                                                                                                                                                                                                                       ,144;0;0;;production;OP;0
01.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;18                                                                                                                                                                                                                                                                      ,244;0;0;;production;OP;0
02.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;0;0;0;;production;OP;0
03.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;30                                                                                                                                                                                                                                                                      ,133;0;0;;production;OP;0
04.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,607;0;0;;production;OP;0
05.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,493;0;0;;production;OP;0
06.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,227;0;0;;production;OP;0
07.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,238;0;0;;production;OP;0
08.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,353;0;0;;production;OP;0
09.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,735;0;0;;production;OP;0
10.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,752;0;0;;production;OP;0
11.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,761;0;0;;production;OP;0
12.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,783;0;0;;production;OP;0
13.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,832;0;0;;production;OP;0
14.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,819;0;0;;production;OP;0
15.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;32                                                                                                                                                                                                                                                                      ,057;0;0;;production;OP;0
16.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;0;%;0;0;32                                                                                                                                                                                                                                                                     ,847;0;0;;production;OP;0
17.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;32                                                                                                                                                                                                                                                                      ,844;0;0;;production;OP;0
18.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;32                                                                                                                                                                                                                                                                      ,224;0;0;;production;OP;0
19.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,854;0;0;;production;OP;0
20.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;117                                                                                                                                                                                                                                                                                    ,499;19                  ,175;117                 ,499;0;0;%;0;0;31                   ,894;0;0;;production;OP;0
21.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;240                                                                                                                                                                                                                                                                                    ,009;39                  ,158;240                 ,009;0;;%;0;0;31                    ,878;0;0;;production;OP;0
22.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;97                                                                                                                                                                                                                                                                                     ,364;15                  ,885;97                  ,364;0;;%;0;0;31                    ,878;0;0;;production;OP;0
23.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,88;0;0;;production;OP;0
24.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,882;0;0;;production;OP;0
25.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,88;0;0;;production;OP;0
26.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,882;0;0;;production;OP;0
27.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,881;0;0;;production;OP;0
28.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,881;0;0;;production;OP;0
29.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,887;0;0;;production;OP;0
30.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,515;0;0;;production;OP;0
31.05.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;4                                                                                                                                                                                                                                                                       ,475;0;0;;production;OP;0
01.06.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;4                                                                                                                                                                                                                                                                       ,039;0;0;;production;OP;0
02.06.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;11                                                                                                                                                                                                                                                                      ,15;0;0;;production;OP;0
03.06.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;14                                                                                                                                                                                                                                                                      ,079;0;0;;production;OP;0
04.06.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;30                                                                                                                                                                                                                                                                      ,47;0;0;;production;OP;0
05.06.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,868;0;0;;production;OP;0
06.06.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,867;0;0;;production;OP;0
07.06.2008;NO15/9-F-14H;5351;15/9-F-14;3420717;VOLVE;369304;M?RSKINSPIRER;0;0;0;0;0;;%;0;0;31                                                                                                                                                                                                                                                                      ,899;0;0;;production;OP;0
